videoId,publishedTime,durationSec,viewCount,likeCount,dislikeCount,commentCount
NEHhHj4hgyc,26-02-2020 14:17,134,3210357,53396,2791,1878
FoartCzKXew,25-02-2020 06:31,236,2118326,45899,1965,1752
dIL3dHNoG1E,24-02-2020 14:00,200,138615,2061,476,508
S58ODGnDv4k,25-02-2020 07:30,169,109514,2250,280,275
lFhoOleFv2g,25-02-2020 08:00,163,239677,4524,453,370
ya1EzxnyZcg,25-02-2020 08:15,186,346187,6494,279,468
75xKVU9wTT4,25-02-2020 08:30,202,269636,3416,686,550
cFpayuC3DPg,24-02-2020 12:30,309,572803,7954,341,557
zaPpbkg9bbA,24-02-2020 11:06,115,924818,17071,767,576
5MRVqw2RavQ,24-02-2020 11:32,21,70795,1898,159,200
gdripZn1heA,24-02-2020 03:26,60,1464330,57634,2363,2180
dm58Suwf9Bc,21-02-2020 11:30,1179,151774,2415,683,619
Eijc6mAUKtM,21-02-2020 11:00,108,444408,20804,905,996
6DKfFdXmxw0,21-02-2020 09:01,149,147274,3375,418,312
bviq6R3zOzg,21-02-2020 09:30,85,98719,1197,258,129
wNFULWXDXxg,24-02-2020 10:01,165,215294,4012,474,393
ReBLjyzncrs,20-02-2020 12:26,22,37772,566,100,69
mIWpsOjQNDw,21-02-2020 06:30,220,13367271,124897,9216,3414
I5TJ1jsqLSM,21-02-2020 09:30,188,3628645,38121,2479,1087
61fnZ1_UmxQ,20-02-2020 11:30,307,6253231,61506,1881,1289
HQbGyKQsl4c,22-02-2020 05:30,330,168499,3519,591,491
Sbof1KQMwKU,20-02-2020 13:30,298,918015,11826,455,544
Zq-40MKuIjg,22-02-2020 08:30,232,1419607,77925,3140,2176
#NAME?,20-02-2020 12:32,171,142159,4330,232,330
05DrDxjMEbU,20-02-2020 05:31,149,22322567,186728,9010,6731
ySgdrYATaQY,20-02-2020 08:30,254,1354227,22696,1577,1027
ozUfUFQ6vxA,19-02-2020 09:31,105,9618893,84361,7728,2460
xeqJU7PLseg,19-02-2020 06:47,147,49671788,510362,55679,15764
qQ7BiAQTZqc,18-02-2020 12:01,107,188965,3884,582,482
Jo3ivkmacPg,17-02-2020 11:33,293,3210035,33382,1474,818
6rgOUZK7v0Q,17-02-2020 10:30,100,155415,3227,406,289
qDt7eMhuNvc,17-02-2020 07:00,31,411836,9079,503,630
JJzIDDo1Rq4,20-02-2020 10:31,16,243604,4329,396,366
zO4V7oesCH8,15-02-2020 12:17,107,504247,13078,797,741
kBN-mGphCSE,17-02-2020 09:30,61,183475,4639,375,430
Y-M7FWuxadI,16-02-2020 10:30,163,392743,8945,844,638
FW_3b5iPhIE,18-02-2020 05:32,268,89576749,972902,49888,70160
6ZQPYMT3KUg,15-02-2020 11:30,195,1016492,13332,1454,592
hJBHSmyqv0Y,15-02-2020 09:35,300,13777943,83609,3134,1689
KBIq11mNB0I,15-02-2020 13:30,287,37888202,254975,11297,4638
0vUjurMCTUU,15-02-2020 05:33,30,831872,30787,1433,1342
dTDeUgpAmgU,14-02-2020 14:02,116,933940,31384,1323,1262
ZLe5ECcpU4s,14-02-2020 12:43,133,142730,3474,202,232
Qdsws6_VmsA,14-02-2020 11:29,2373,391045,11527,517,648
_iPPtPlt-w8,15-02-2020 06:30,277,6230769,34390,4437,996
z5A_FkPKdu4,24-02-2020 08:30,231,25878615,373620,15145,8472
74x75tl23r8,13-02-2020 12:06,2804,1008205,11980,930,935
mLthx9hSFg8,14-02-2020 12:30,210,3766243,31764,1988,829
7eO_rHsATLg,14-02-2020 05:30,151,2468670,31821,851,704
lgYmJYdKK4U,14-02-2020 06:48,65,1110238,31671,1831,665
PHZuDEGxNnk,13-02-2020 09:31,129,545611,13257,443,603
1mVc07qyyYY,13-02-2020 06:30,193,293011,3516,345,275
HUYTgaowDY8,13-02-2020 11:39,2873,399711,9838,501,567
PDw3PCVq5vw,12-02-2020 09:33,147,403050,10325,367,450
vjOKuvBjkS8,12-02-2020 06:33,139,72794575,949707,131892,44301
5AlljkjyywM,11-02-2020 12:11,300,213824,2515,181,215
q9x5aIMi56o,14-02-2020 07:30,326,90234,1705,146,216
G9W2mRd0ENQ,13-02-2020 05:30,347,1181514,12866,499,521
34Emh4alSQg,11-02-2020 06:00,296,21842255,476280,13257,16248
YysFgoGIMkY,10-02-2020 13:10,278,22644234,168356,12359,3429
xxhXFm-bGy0,11-02-2020 11:30,195,5728320,40319,2897,1025
IvJllZGvPNs,11-02-2020 10:30,195,4509611,42452,1970,656
9gu2aJ-KrQI,10-02-2020 11:01,161,20166433,193178,12726,5473
SN958msmXeI,10-02-2020 07:46,111,125150288,859957,124384,27652
RiNlevLAdu8,12-02-2020 11:30,259,292761,6062,429,358
P8zqDpOwCAk,10-02-2020 08:31,306,1986473,20415,842,641
RIGtJjRQhCA,10-02-2020 05:50,20,839793,14872,1254,443
bdYLoQbyeGA,08-02-2020 12:30,140,310227,4067,600,435
1GidIk9DHOs,07-02-2020 14:06,270,353080,3786,414,415
eUG-jbqPM1o,07-02-2020 13:59,337,174559,1555,191,151
7DoyVYfu0hg,07-02-2020 13:54,242,132180,1400,111,127
4l72CAVGQz0,07-02-2020 13:50,189,223294,2294,166,164
SM9HTs8Fx-Y,16-02-2020 09:35,21,124486,2164,240,346
Phhqx-f2ZVw,15-02-2020 10:33,21,250185,4508,394,368
FNfd5QOKRdo,14-02-2020 10:31,31,179104,4052,277,348
RHDUEkqKDhg,13-02-2020 10:34,31,308984,5322,395,480
7fmtKgy5hh8,12-02-2020 12:35,31,330866,8855,693,840
3yAOigVKkko,17-02-2020 13:32,16,110191,1617,375,288
icH1SyiTk94,08-02-2020 06:30,177,68102981,362461,37177,9089
f_4hbHk6eAw,12-02-2020 10:00,207,1620622,14644,1133,469
cNLxxhTB5gs,07-02-2020 13:30,221,145617,1127,102,125
IE8OD5FbU-c,07-02-2020 06:30,278,85446212,448695,51393,7298
L9pTBouRz68,07-02-2020 08:30,204,83299096,452671,34489,8842
zN6MKPqHrmw,09-02-2020 12:30,290,1000408,8964,968,576
LbmDMxIK4OU,13-02-2020 08:30,350,146361,2498,216,244
arMgnyQTlH0,09-02-2020 11:30,163,272790,5239,607,555
VnZs1kOIA1w,09-02-2020 06:30,171,216177,4227,505,493
B304LQa-FCg,08-02-2020 11:30,166,261687,4352,713,445
#NAME?,07-02-2020 13:05,200,359146,6914,567,367
xoUpBUb6hsg,07-02-2020 11:33,272,600456,7150,538,487
